1710 Sessions House
1715 Drew Hall (cdo)
1810 Eleanor Duckett House
1810 Mary Ellen Chase House
1825 Capen Annex
1825 Capen House
1870 138 Elm
1872 Tyler Annex
1873 Sessions Annex
1875 College Hall
1877 Hatfield Hall
1878 Washburn House
1880 Park House
1881 Tenney House
1882 Pierce Hall
1883 10 Prospect Street
1884 150 Elm
1886 Lilly Hall
1886 Sunnyside-childcare Center
1890 76 Elm Street
1891 Alumnae Gymnasium
1892 Park Annex
1893 Lawrence House
1893 Morris House
1895 Lyman Plant House
1896 Parsons Annex
1898 Davis Center
1898 Tyler House
1899 Seelye Hall
1899 Stoddard
1899 Wesley House
1900 Albright House
1900 Physical Plant
1903 Chapin House
1905 Burton Hall
1908 Baldwin House
1908 Clark Hall
1909 Morgan Hall
1909 Neilson Library
1909 Talbot House
1910 Gillett Housey
1910 John M. Greene Hall
1910 Northrop House
1911 Boat House
1918 Campus School-gill Hall
1919 Health Services-mason Infirmary
1919 Hopkins House
1920 Crew House
1920 Presidents House
1922 Ellen Emerson House
1922 Jordan House
1924 Sage Hall
1925 Riding Stables And Rings
1926 Cushing House
1926 Gardiner House
1926 Martha Wilson House
1926 Morrow House
1930 Comstock House
1930 Wilder House
1936 Franklin King House
1936 Laura Scales House
1938 Alumnae House
1955 Lamont House
1955 Ziskind House
1957 Cutter House
1961 Wright Hall
1972 Art Complex
1977 Ainsworth Gymnasium
1978 Friedman Complex
1985 Itt
2000 Bass Hall
2003 Campus Center
2009 Ford Hall
2014 Student Health and Wellness Center
